location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Bellas Vistas,"40.452592136419916, -3.7101546315008873",Una habitación muy bonita,Private room,24,18,1,0,1
 Cármenes,"40.40624489670399, -3.7243270783146096",Apartamento muy acogedor en Madrid Río,Entire home/apt,115,0,2,0,1
 Pilar,"40.47769938873161, -3.7036310549439313",Habitacion barrio del pilar,Private room,28,1,1,0,1
 Amposta,"40.42799690389125, -3.618121886231047",Habitación privada,Private room,20,41,1,365,1
 Lucero,"40.402416839955976, -3.7483148438434575",Habitación en Madrid.,Private room,21,7,1,0,1
 Universidad,"40.428693459394076, -3.7133532059494208",Luxury city view 17th floor studio in Plaza España,Entire home/apt,84,17,4,0,3
 Pueblo Nuevo,"40.42589677655923, -3.6423628779028574",Bonito loft muy luminoso en Ascao. Cerca del Wanda,Entire home/apt,70,11,2,364,1
 Berruguete,"40.45762599656045, -3.707675511266411",Habitacion con cama doble confortable,Private room,86,8,1,179,1
 Simancas,"40.428212114263516, -3.6258970975095965",SOFA CAMA DOBLE CERCA WANDA METROPLOLITANO MADRID,Entire home/apt,50,0,1,364,1
 Sol,"40.41777589241631, -3.70277893761282",Estudio en  misma plaza puerta del sol,Entire home/apt,60,1,30,0,1
 Rios Rosas,"40.43960996205916, -3.701775376572967",Stylish new apartment in Chamberí.,Entire home/apt,77,27,2,0,7
 Vallehermoso,"40.440374130424125, -3.704976673719031",Calle de Boix y morer,Private room,100,0,1,0,1
 Quintana,"40.43732369635677, -3.6426772820817694",Habitación madrid,Private room,35,0,1,365,1
 Embajadores,"40.40829704318411, -3.7075953913058637",Cosy double room in the heart of the city | Rastro,Private room,26,2,2,0,4
 Almagro,"40.4366311444388, -3.699643803245646","2 bed flat, El castizo",Entire home/apt,70,0,1,180,1
 Hispanoamérica,"40.45775429578428, -3.680614703936272",Paseo Santiago Bernabéu,Entire home/apt,59,8,1,0,2
 Universidad,"40.42336981337803, -3.701478774460711",Estudio céntrico exterior,Entire home/apt,40,0,2,0,1
 Rosas,"40.42707739086909, -3.6109644943255477",Siéntete como en casa,Private room,40,2,1,365,2
 Arcos,"40.42709883445387, -3.611565339459368",Siéntete como en casa,Private room,50,5,1,365,2
 Justicia,"40.42385331329678, -3.6997682067864526",Habitación doble con baño propio,Private room,35,17,2,1,5
 Universidad,"40.42191485633637, -3.7085936943984",Habitacion 4 junto a Gran Via madrileña,Private room,40,12,2,0,5
 Embajadores,"40.40794521118423, -3.706129727410947",Apartamento en el centro,Entire home/apt,150,8,2,0,1
 San Pascual,"40.438184944757104, -3.6549979741481162",Habitación privada en Barrio Concepción,Private room,22,10,1,0,1
 Palos de Moguer,"40.402052983869886, -3.693120857387467",APARTAMENTO CENTRO LUXURY ESTACION DE ATOCHA,Entire home/apt,85,4,14,0,1
 Fontarrón,"40.39971382714293, -3.641758677443437",piso eficiente,Entire home/apt,95,0,10,365,1
 Cuatro Caminos,"40.45295394182762, -3.7026200656055805",APARTAMENTO ZONA BERNABEU,Entire home/apt,90,4,2,365,6
 Horcajo,"40.404703941194164, -3.633856797497737",Cosy bedroom in Madrid,Private room,30,3,2,179,1
 Embajadores,"40.40845898184567, -3.7062520367381695",Bedroom 2 in duplex with terrace - Downtown Madrid,Private room,22,7,6,0,2
 Cuatro Caminos,"40.45299726660529, -3.702456724660012",MADRID CENTRO APTO TIPO ESTUDIO,Entire home/apt,60,6,2,179,1
 Palacio,"40.410072091873474, -3.711970227914921",Vintage & Cozy - 1BD 1BTH - La Latina,Entire home/apt,74,12,2,365,1
 Universidad,"40.42757744645978, -3.704483808677692",Malasaña Perfect Flat / Stylish and Neat,Entire home/apt,69,18,2,0,1
 Recoletos,"40.422001708592155, -3.686033400859422",Luxury Apartment Retiro-Salamanca,Entire home/apt,90,0,4,365,2
 Rios Rosas,"40.440058335379504, -3.701132077437495",New! Precioso apartamento reformado. A/C y WIFI,Entire home/apt,90,15,3,364,1
